Local Area Unemployment Statistics,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LAUMT171698000000004,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Area:,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",,,,,,,,,,,
Area Type:,Metropolitan areas,,,,,,,,,,,
State/Region/Division:,Illinois,,,,,,,,,,,
Years:,2001 to 2022,,,,,,,,,,,
,,,,,,,,,,,,
Year,Period,labor force,employment,unemployment,unemployment rate
2001,Jan,4747976,4489265,258711,5.4
2001,Feb,4775219,4513765,261454,5.5
2001,Mar,4793678,4522183,271495,5.7
2001,Apr,4773991,4513569,260422,5.5
2001,May,4774864,4533211,241653,5.1
2001,Jun,4843227,4565920,277307,5.7
2001,Jul,4836204,4574515,261689,5.4
2001,Aug,4747312,4480616,266696,5.6
2001,Sep,4731721,4481282,250439,5.3
2001,Oct,4739668,4479768,259900,5.5
2001,Nov,4743798,4468989,274809,5.8
2001,Dec,4742001,4453294,288707,6.1
2002,Jan,4704449,4365648,338801,7.2
2002,Feb,4748502,4411938,336564,7.1
2002,Mar,4709404,4374135,335269,7.1
2002,Apr,4671188,4342488,328700,7.0
2002,May,4665154,4353828,311326,6.7
2002,Jun,4739514,4388183,351331,7.4
2002,Jul,4728323,4386268,342055,7.2
2002,Aug,4670584,4353545,317039,6.8
2002,Sep,4645252,4350770,294482,6.3
2002,Oct,4639838,4338502,301336,6.5
2002,Nov,4632859,4323785,309074,6.7
2002,Dec,4614451,4309136,305315,6.6
2003,Jan,4628201,4287076,341125,7.4
2003,Feb,4634239,4301652,332587,7.2
2003,Mar,4633777,4311264,322513,7.0
2003,Apr,4625744,4320876,304868,6.6
2003,May,4638933,4336420,302513,6.5
2003,Jun,4760743,4401629,359114,7.5
2003,Jul,4750958,4416263,334695,7.0
2003,Aug,4678545,4350052,328493,7.0
2003,Sep,4647629,4337260,310369,6.7
2003,Oct,4655436,4361860,293576,6.3
2003,Nov,4658165,4364407,293758,6.3
2003,Dec,4636632,4356084,280548,6.1
2004,Jan,4645783,4323472,322311,6.9
2004,Feb,4653805,4343673,310132,6.7
2004,Mar,4660020,4348449,311571,6.7
2004,Apr,4647182,4353728,293454,6.3
2004,May,4658301,4371854,286447,6.1
2004,Jun,4743226,4432178,311048,6.6
2004,Jul,4757288,4454901,302387,6.4
2004,Aug,4707455,4418642,288813,6.1
2004,Sep,4669162,4396687,272475,5.8
