Year,Period,labor force,employment,unemployment,unemployment rate
2006-01,01,4690026,4431572,258454,5.5
2006-02,02,4712761,4457601,255160,5.4
2006-03,03,4720335,4481863,238472,5.1
2006-04,04,4715763,4491599,224164,4.8
2006-05,05,4729208,4528539,200669,4.2
2006-06,06,4833486,4599158,234328,4.8
2006-07,07,4851259,4622685,228574,4.7
2006-08,08,4818459,4600215,218244,4.5
2006-09,09,4773836,4576509,197327,4.1
2006-10,10,4810466,4626653,183813,3.8
2006-11,11,4809837,4618526,191311,4.0
2006-12,12,4815841,4616475,199366,4.1
2007-01,01,4811382,4555023,256359,5.3
2007-02,02,4805564,4557694,247870,5.2
2007-03,03,4809955,4584141,225814,4.7
2007-04,04,4809317,4577341,231976,4.8
2007-05,05,4819207,4592733,226474,4.7
2007-06,06,4937635,4668442,269193,5.5
2007-07,07,4959495,4696220,263275,5.3
2007-08,08,4893345,4642835,250510,5.1
2007-09,09,4863447,4629797,233650,4.8
2007-10,10,4876121,4644286,231835,4.8
2007-11,11,4914040,4674669,239371,4.9
2007-12,12,4896862,4639291,257571,5.3
2008-01,01,4916897,4620256,296641,6.0
2008-02,02,4899459,4609514,289945,5.9
2008-03,03,4909636,4631181,278455,5.7
2008-04,04,4905613,4641296,264317,5.4
2008-05,05,4914093,4619829,294264,6.0
2008-06,06,4993452,4655574,337878,6.8
2008-07,07,4974201,4641413,332788,6.7
2008-08,08,4912921,4585541,327380,6.7
2008-09,09,4855195,4552017,303178,6.2
2008-10,10,4839685,4524434,315251,6.5
2008-11,11,4850495,4527091,323404,6.7
2008-12,12,4838662,4484975,353687,7.3
2009-01,01,4824162,4400024,424138,8.8
2009-02,02,4836101,4374284,461817,9.5
2009-03,03,4848341,4378332,470009,9.7
2009-04,04,4853775,4385966,467809,9.6
2009-05,05,4876287,4389510,486777,10.0
2009-06,06,4976377,4446653,529724,10.6
2009-07,07,4975669,4453846,521823,10.5
2009-08,08,4895215,4391793,503422,10.3
2009-09,09,4833570,4323709,509861,10.5
2009-10,10,4847403,4325084,522319,10.8
2009-11,11,4858357,4340717,517640,10.7
2009-12,12,4820384,4287349,533035,11.1
2010-01,01,4840200,4249080,591120,12.2
2010-02,02,4861835,4280335,581500,12.0
2010-03,03,4874833,4311509,563324,11.6
2010-04,04,4892109,4354225,537884,11.0
2010-05,05,4869732,4360578,509154,10.5
2010-06,06,4926086,4393878,532208,10.8
2010-07,07,4927663,4399913,527750,10.7
2010-08,08,4871817,4369340,502477,10.3
2010-09,09,4837694,4361334,476360,9.8
2010-10,10,4834153,4368029,466124,9.6
2010-11,11,4848798,4379095,469703,9.7
2010-12,12,4814267,4355353,458914,9.5
2011-01,01,4774792,4278183,496609,10.4
2011-02,02,4786453,4300927,485526,10.1
